id,tempo,energy_mean,mfcc_1,mfcc_2,yamnet_music_score,yamnet_speech_score,yamnet_wind_score,yamnet_crowd_score,is_music,is_speech,"is_type_""Boat","is_type_""Crumpling","is_type_""Inside","is_type_""Outside",is_type_Animal,is_type_Bell,is_type_Bird,is_type_Child singing,is_type_Chime,is_type_Choir,is_type_Cowbell,is_type_Explosion,is_type_Humming,is_type_Jingle bell,is_type_Lullaby,is_type_Music,is_type_Ocean,is_type_Silence,is_type_Sound effect,is_type_Speech,is_type_Vehicle,is_type_Water,is_type_Whistling,is_type_Wind
7210834532591963398,151.99908088235293,0.095420256,-213.52176,85.74922,0.6716208457946777,0.1703200787305832,1.642910865484737e-05,5.82144784857519e-05,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
7479481184100044054,129.19921875,0.0401843,-269.3099,89.749054,0.7990790605545044,0.0017197367269545,3.467096757958643e-05,1.824734135880135e-05,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
7315824288173493536,135.99917763157896,0.1443709,-189.26692,74.01105,0.9324063658714294,0.0004277036059647,1.6519197743036784e-05,1.4396275219041854e-05,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
7167014945626787078,129.19921875,0.041148923,-254.50986,75.51991,0.0043151066638529,0.8606479167938232,0.0002393376926193,0.0003750924661289,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
7481977420220779798,89.10290948275862,0.21054338,-171.95049,160.93996,0.0768490955233573,0.1212821677327156,0.0022525372914969,0.0371490828692913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6979673025503366405,143.5546875,0.20386615,-132.7706,70.49614,0.4652672111988067,0.064523309469223,6.063956971047446e-05,0.0003452911914791,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
6923235061999373574,129.19921875,0.1982268,-70.831314,99.78997,0.9036532044410706,0.0009541065664961,0.0018595914589241,0.0002237178705399,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
7468313844230704406,143.5546875,0.008751491,-467.44568,114.5265,0.6550602316856384,0.1145700141787529,1.2114369383198207e-05,5.064537617727183e-05,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
7478417820376812822,198.76802884615384,0.012356045,-318.72125,82.93571,0.0032141092233359,0.3217317163944244,0.0426705107092857,0.0006601569475606,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6798641094109269253,112.34714673913044,0.1303642,-91.51035,100.58093,0.8359873294830322,0.0003208650741726,2.1823112206220685e-08,7.843493222026154e-05,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
7168426884852747526,86.1328125,0.16265899,-111.4293,143.70071,0.004468304105103,0.6795662045478821,1.01523319244734e-05,0.0002200021408498,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6883389583271185666,143.5546875,0.05257898,-236.35878,97.59149,0.7135174870491028,0.0190364457666873,1.7838910935097374e-05,5.665193384629674e-05,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
7344802060019256609,184.5703125,0.02226695,-272.94608,58.402317,0.0608339011669158,0.0200993213802576,0.0553435832262039,0.0005011713365092,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7414059508630031648,151.99908088235293,0.01491118,-314.79727,122.87667,0.7014409303665161,0.0212555453181266,3.789601032622159e-05,0.0005910159670747,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
7470212560399109398,198.76802884615384,0.09470279,-175.88405,130.24791,0.0069243353791534,0.0112909534946084,0.1043972969055175,0.0003104069328401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
7471348371962334486,123.046875,0.035441082,-373.5073,147.0067,0.0003647653502412,0.4659256935119629,0.0516739152371883,0.0004005610826425,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6923976137928445190,112.34714673913044,0.13535039,-175.80463,134.20589,0.9688640236854552,0.0001519017387181,8.782254735706374e-05,1.2991142739338102e-06,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
